3 112 432 578 713 938 539 654 307 568
5 600 177 142 781 33 654 956 67 659
8 144 942 276 362 118 126 104 734 812
9 278 579 542 152 572 753 506 984 585
10 139 759 299 39 436 642 634 643 763
12 432 992 736 686 866 178 924 617 940
14 146 721 105 779 99 714 432 147 243
14 683 352 596 721 237 565 660 553 324
17 275 852 578 951 5 957 527 865 504
18 97 444 341 306 711 56 42 503 912
21 536 769 664 874 344 15 389 873 733
27 403 779 813 158 31 94 921 408 274
29 360 578 41 873 523 402 813 359 932
30 935 277 232 753 531 137 77 163 157
32 757 142 784 541 13 442 992 440 221
38 613 276 290 823 461 864 630 615 930
43 935 811 904 294 495 53 166 644 382
44 187 189 873 728 897 235 959 367 128
44 383 256 837 983 653 35 767 64 633
45 585 85 892 889 709 388 215 400 288
45 811 519 109 895 500 296 619 107 416
47 437 810 829 530 765 59 597 99 114
47 915 394 341 993 769 404 66 379 478
49 533 508 522 266 324 344 504 559 172
50 33 997 600 30 312 501 526 457 621
51 254 845 890 754 52 137 729 244 639
52 57 6 150 876 773 33 454 286 283
53 103 489 349 362 525 579 723 23 805
53 531 204 117 501 749 654 577 22 133
53 660 451 427 628 800 603 319 637 388
56 288 112 140 126 256 368 883 451 915
56 786 491 726 344 945 387 507 569 516
61 167 712 241 575 106 649 366 871 496
61 444 286 411 968 144 963 144 577 809
62 239 587 581 534 655 184 855 919 747
66 133 895 253 884 978 464 826 917 78
66 594 854 54 629 238 219 168 983 266
67 773 633 508 286 706 783 256 415 344
68 56 519 426 605 793 549 6 545 399
69 627 997 531 84 617 4 996 822 691
70 33 205 425 644 799 408 55 5 10
72 497 407 99 264 430 34 941 930 691
72 940 299 817 271 265 926 646 94 903
76 698 818 752 45 270 909 386 8 845
76 883 592 67 631 399 741 300 856 76
77 723 560 198 280 889 556 239 185 153
78 399 635 319 498 372 45 387 516 428
80 810 984 505 182 599 245 697 879 768
83 672 731 841 883 690 720 666 975 577
85 29 406 626 170 330 701 144 21 944
85 405 907 551 963 612 754 394 311 124
92 698 243 343 723 348 91 243 72 910
94 7 897 565 282 197 386 966 718 522
98 836 457 14 542 846 841 194 202 878
102 141 330 994 618 162 87 885 546 413
102 416 842 600 738 778 378 760 152 112
103 561 84 595 634 39 205 873 990 148
104 946 243 723 701 776 421 448 751 658
105 353 608 92 695 96 552 834 790 709
108 898 684 494 840 703 392 293 913 287
109 226 956 981 156 538 757 445 624 172
114 493 776 58 176 328 658 595 28 803
116 47 500 45 592 333 77 210 914 911
119 63 99 147 100 755 377 64 540 748
121 719 185 921 412 423 895 414 928 15
123 386 625 719 676 390 374 742 164 614
125 443 98 240 5 710 703 533 683 269
134 999 85 960 32 558 901 683 631 353
135 446 332 493 855 191 360 456 577 489
135 823 933 276 844 372 144 295 978 344
137 567 81 340 169 911 430 993 755 944
137 929 710 76 156 424 173 774 863 490
138 559 610 972 251 479 907 990 43 588
138 787 667 211 439 227 978 969 877 453
139 633 577 419 953 301 667 251 804 671
140 379 104 266 267 620 996 746 83 916
141 505 901 307 366 193 593 812 944 257
142 424 749 596 740 63 618 446 656 60
142 529 147 550 29 248 207 493 625 317
143 97 307 946 781 940 651 6 416 623
146 724 843 666 882 969 698 802 300 180
146 915 628 545 904 454 511 15 648 732
149 378 73 705 925 672 347 989 117 841
149 723 743 248 855 704 216 263 343 936
150 178 230 306 84 220 605 639 371 489
150 877 470 522 212 330 777 627 180 842
153 237 461 903 254 806 758 196 642 405
153 627 135 299 410 694 689 407 403 778
154 906 485 588 886 499 463 86 807 510
155 420 626 578 730 367 406 450 415 36
156 723 811 714 154 215 399 334 559 470
162 776 528 955 770 635 207 645 792 963
163 476 923 391 120 644 967 961 33 727
164 942 215 433 85 121 797 964 792 999
170 256 337 937 830 835 333 800 677 436
170 544 365 116 296 773 840 619 846 651
170 894 585 612 571 1 391 303 811 27
174 176 557 73 834 590 721 263 3 283
176 124 371 92 397 258 625 470 76 341
177 77 20 955 969 637 844 285 434 171
178 194 82 928 528 955 585 238 42 472
180 413 163 263 830 976 225 841 33 122
182 172 335 152 415 481 371 768 491 396
183 957 5 549 144 743 471 568 313 279
185 421 508 251 50 339 115 613 159 279
192 797 378 701 333 332 685 849 277 82
194 327 682 573 225 483 16 97 240 969
196 878 190 991 82 501 437 207 377 835
201 506 711 818 615 607 230 759 727 984
202 421 86 647 333 561 226 44 641 191
204 246 491 271 233 559 859 337 421 0
204 312 841 326 81 983 984 677 137 241
209 222 607 49 224 76 711 453 387 176
212 84 633 85 500 937 404 481 977 715
214 785 92 790 812 599 48 531 302 471
216 911 116 299 465 800 505 648 672 716
221 64 803 739 715 633 734 78 643 278
222 220 393 944 43 93 935 827 639 279
223 681 443 991 835 515 723 153 922 835
229 188 360 382 162 873 474 356 139 334
229 227 444 928 893 842 833 846 486 286
232 782 809 513 743 199 398 956 269 314
234 804 335 985 876 288 878 748 855 781
235 17 825 98 71 278 338 511 748 43
238 40 404 386 392 882 501 403 52 790
242 477 900 116 810 85 37 332 709 281
243 421 257 290 862 384 680 396 408 971
246 51 658 748 303 808 403 211 27 229
246 73 561 223 30 791 645 494 3 749
246 680 273 910 673 452 671 349 155 737
248 50 797 382 587 720 45 649 805 777
249 224 484 402 392 389 943 750 331 514
249 354 13 246 415 942 677 573 722 838
251 845 94 963 975 580 845 973 151 330
251 866 704 514 857 489 731 852 702 870
253 140 576 646 670 850 107 403 427 97
256 0 492 143 727 329 186 800 850 506
256 940 920 56 886 595 564 311 45 869
261 340 345 568 818 963 543 421 199 186
264 436 622 659 715 74 339 650 75 234
265 156 795 243 707 258 954 707 772 531
265 214 913 797 158 22 985 859 829 647
265 411 608 14 341 756 842 908 329 901
267 648 22 178 204 403 449 195 266 438
272 898 738 27 312 968 99 437 164 930
282 66 232 550 972 622 758 437 455 513
285 813 367 484 454 493 94 116 489 752
288 96 109 884 35 701 944 391 48 816
289 441 139 735 637 513 216 544 735 878
291 69 597 847 775 576 602 412 197 987
298 479 213 305 380 486 566 206 297 193
300 462 314 165 33 221 669 885 453 198
301 261 719 927 899 115 720 284 312 123
302 557 323 378 565 751 248 259 510 891
305 426 486 616 689 917 166 130 553 262
306 240 957 968 446 894 192 541 313 221
306 359 113 803 969 254 234 783 517 210
307 625 236 478 414 87 803 826 982 785
307 657 122 186 200 287 845 353 893 969
309 847 912 76 248 30 419 131 976 937
310 528 6 264 834 374 927 317 381 297
310 531 576 548 187 621 395 973 542 242
312 401 154 841 148 288 249 161 789 389
313 246 113 284 77 701 148 560 74 373
317 461 365 902 129 32 108 275 196 67
317 980 320 279 382 551 776 636 139 63
322 227 29 457 111 908 547 214 94 802
323 127 187 520 951 792 924 436 229 14
329 129 600 835 168 487 864 459 553 836
329 637 535 898 346 21 833 730 770 538
330 644 235 121 677 65 338 753 953 156
333 315 102 335 187 986 483 977 658 353
340 97 432 52 550 922 909 722 760 297
347 260 667 30 945 321 792 212 710 132
351 21 942 183 299 79 510 971 314 982
351 83 842 653 599 846 584 547 846 420
355 950 596 736 44 94 512 215 123 177
360 72 102 965 185 506 965 442 990 231
362 637 513 895 971 894 105 231 705 304
363 674 820 6 925 605 590 491 414 566
363 980 431 305 56 490 481 422 93 200
364 301 694 41 799 699 140 40 202 145
368 959 926 456 182 518 403 50 322 438
370 836 707 775 48 53 287 687 421 105
372 225 691 305 117 521 56 508 682 325
373 446 446 300 95 311 345 589 39 119
375 870 609 783 1 656 483 415 619 344
379 445 83 903 487 899 329 496 740 391
380 437 547 231 449 903 327 228 469 683
386 198 265 449 176 193 921 97 718 623
387 177 708 551 946 903 464 244 349 26
390 707 721 209 601 275 669 221 20 23
392 926 867 659 905 89 124 517 524 487
393 269 806 3 479 196 711 665 272 295
394 893 80 544 610 436 556 101 447 22
399 537 696 986 287 423 650 923 174 580
400 778 191 166 365 35 354 204 206 662
401 67 808 683 36 964 322 245 444 501
401 732 295 843 385 874 641 26 808 858
409 193 259 501 11 493 485 341 937 439
410 984 992 231 925 48 469 515 90 82
411 300 761 807 497 71 617 497 846 115
412 996 351 336 273 168 211 610 393 495
415 943 26 705 604 512 366 450 272 820
416 731 116 291 983 919 127 809 480 181
417 982 949 111 182 301 950 425 242 375
421 13 367 627 531 19 785 847 436 390
423 928 392 57 141 798 818 565 508 814
424 105 199 630 440 787 888 827 63 937
424 763 607 798 875 335 732 171 333 190
424 849 906 582 809 218 115 246 324 970
430 115 401 156 876 999 159 533 485 55
430 395 236 972 958 942 529 485 772 253
430 464 657 599 94 841 26 386 566 713
433 276 444 463 492 511 949 769 319 721
435 667 581 568 135 308 125 975 236 805
436 818 900 920 909 210 623 647 49 58
437 718 878 752 989 88 20 223 211 530
438 822 158 807 644 738 596 842 543 560
439 119 647 791 724 785 998 44 448 894
441 779 580 809 370 906 261 421 487 953
446 282 353 298 490 244 220 538 233 900
446 346 500 676 771 912 51 466 210 162
446 945 183 185 874 221 220 422 486 702
450 175 914 689 541 472 879 492 992 975
451 157 651 167 76 894 622 573 881 441
451 744 200 222 969 790 821 559 876 189
451 836 536 488 611 380 938 599 788 195
454 925 341 652 218 411 138 930 551 832
456 843 182 389 440 101 149 26 176 803
457 296 826 224 597 760 453 464 854 711
458 793 376 518 947 534 18 594 811 606
459 224 654 113 21 553 902 951 211 25
460 908 300 839 633 594 462 57 545 485
463 256 44 830 835 294 54 293 506 756
464 701 452 171 213 99 775 130 617 522
465 9 236 619 175 972 871 759 754 48
467 329 99 389 470 517 525 383 194 170
468 404 100 243 561 530 694 808 88 212
469 393 621 332 92 198 664 97 71 784
473 526 857 317 99 331 85 831 476 978
473 625 550 611 975 249 975 768 665 427
474 552 218 827 580 513 887 131 584 277
475 635 984 790 543 229 781 16 992 856
483 606 164 857 375 594 290 472 281 64
487 343 126 662 590 855 615 526 735 406
488 883 686 366 248 353 545 494 85 157
491 929 28 231 670 739 203 765 765 368
493 955 148 689 332 329 973 6 433 242
494 221 2 272 956 301 431 610 514 485
495 584 617 301 724 478 613 627 502 928
496 617 579 691 77 817 334 987 414 792
500 424 631 340 498 650 445 237 878 359
501 901 432 479 719 513 59 262 302 399
502 577 678 45 197 564 311 484 284 299
503 409 93 49 222 320 578 803 516 864
504 140 7 479 22 878 156 293 847 978
